Epicotyl.length,Main.leaf.count,Main.node.count,Total.leaf.count,Total.node.count,Treatment,Survival,Tank,Propagule.ID
2,2,1,2,1,TP,A,10A,731
0,0,0,0,0,BB,A,10A,561
0,0,0,0,0,BB,D,10A,718
0,0,0,0,0,CC,DY,10A,667
0,0,0,0,0,TP,A,10B,584
0,0,0,0,0,TP,DY,10B,605
0.5,0,0,0,0,TP,DY,10B,595
0.2,0,0,0,0,TP,DY,10B,591
0,0,0,0,0,TP,A,10B,566
0,0,0,0,0,BB,D,10B,609
0,0,0,0,0,BB,D,10B,594
0,0,0,0,0,TP,DY,10C,617
0,0,0,0,0,TP,DY,10C,622
0,0,0,0,0,TP,D,10C,728
0.2,0,0,0,0,TP,D,10C,627
20.1,12,6,12,6,BB,A,10C,610
3.5,4,2,7,4,BB,A,10C,618
0,0,0,0,0,BB,A,10C,649
0,0,0,0,0,CC,D,11B,581
0,0,0,0,0,CC,D,11B,653
0,0,0,0,0,TP,D,11B,585
0,0,0,0,0,BB,DY,11B,567
0,0,0,0,0,BB,A,11B,626
0,0,0,0,0,TP,A,11C,699
0,0,0,0,0,TP,D,10A,703
0,0,0,0,0,TP,D,10A,715
0,0,0,0,0,TP,D,10A,716
0,0,0,0,0,TP,D,10A,577
0,0,0,0,0,TP,DY,10A,706
16.4,10,5,10,5,TP,A,10A,552
19.2,9,5,9,5,TP,A,10A,719
15,10,5,10,5,TP,A,10A,558
7.7,6,4,6,4,TP,A,10A,572
12.3,9,5,9,5,BB,A,10A,579
20.9,10,5,10,5,BB,A,10A,530
11.7,7,4,7,4,BB,A,10A,583
0,0,0,0,0,BB,DY,10A,708
0,0,0,0,0,BB,DY,10A,702
0,0,0,0,0,BB,DY,10A,575
0,0,0,0,0,BB,DY,10A,564
16.7,6,9,6,9,CC,A,10A,725
6,6,3,6,3,CC,A,10A,710
8.5,5,4,5,4,CC,A,10A,576
8.5,6,5,6,5,CC,A,10A,661
13.2,10,5,10,5,CC,A,10A,559
13.5,6,4,6,4,CC,A,10A,555
11.7,7,4,7,4,CC,A,10A,568
16,6,4,6,4,CC,A,10A,562
0,0,0,0,0,CC,D,10A,704
21.1,10,5,10,5,BB,A,10A,730
11.7,6,4,6,4,CC,A,10B,590
11.7,8,4,8,4,CC,A,10B,582
8,7,4,7,4,CC,A,10B,599
11.7,4,6,4,6,CC,A,10B,593
17.5,4,5,4,5,CC,A,10B,621
11.2,7,4,7,4,CC,A,10B,597
10.2,7,4,7,4,CC,A,10B,557
15,7,4,7,4,CC,A,10B,615
9.9,8,4,8,4,CC,A,10B,596
10.1,6,4,6,4,CC,A,10B,613
13.6,5,9,5,9,TP,A,10B,576
21,11,6,25,13,TP,A,10B,588
16,11,6,15,8,TP,A,10B,601
22.3,8,5,15,9,TP,A,10B,611
22.3,9,5,9,5,TP,A,10B,598
0,0,0,0,0,BB,DY,10B,603
0,0,0,0,0,BB,DY,10B,604
0.3,0,0,0,0,BB,DY,10B,580
18.2,10,5,10,5,BB,A,10B,592
12,7,5,7,5,BB,A,10B,619
12.6,8,4,8,4,BB,A,10B,586
12,8,4,8,4,BB,A,10B,607
13.8,9,5,9,5,BB,A,10B,600
3.1,3,2,6,4,TP,A,10C,657
18.6,12,6,16,8,TP,A,10C,712
23.1,7,4,7,4,TP,A,10C,608
18.8,11,6,21,11,TP,A,10C,623
5,6,3,13,7,TP,A,10C,723
9.5,7,4,13,7,TP,A,10C,726
12,9,6,9,6,BB,A,10C,714
11.8,10,5,10,5,BB,A,10C,705
15.8,10,5,10,5,BB,A,10C,633
9.8,8,4,8,4,BB,A,10C,713
0,0,0,0,0,BB,A,10C,655
0,0,0,0,0,BB,A,10C,724
0,0,0,0,0,BB,D,10C,721
12,8,4,8,4,CC,A,10C,711
18.4,5,8,5,8,CC,A,10C,647
12.5,8,4,8,4,CC,A,10C,606
11.5,8,5,8,5,CC,A,10C,720
10.5,7,4,7,4,CC,A,10C,709
18.3,10,5,10,5,CC,A,10C,620
10.7,8,5,8,5,CC,A,10C,602
0,0,0,0,0,CC,D,10C,629
0,0,0,0,0,CC,D,10C,701
0,0,0,0,0,CC,D,10C,624
16.7,8,5,8,5,CC,A,11A,650
23,8,5,8,5,CC,A,11A,727
12.7,10,5,10,5,CC,A,11A,659
14.4,10,5,10,5,CC,A,11A,644
9.6,7,4,7,4,CC,A,11A,660
13.5,8,5,8,5,CC,A,11A,656
11.2,6,4,6,4,CC,A,11A,632
19,8,5,8,5,CC,A,11A,638
17.7,8,5,8,5,CC,A,11A,664
0.3,0,0,0,0,CC,D,11A,722
11.1,8,4,8,4,TP,A,11A,652
17.4,12,7,23,13,TP,A,11A,646
18.6,11,6,15,8,TP,A,11A,658
13.5,10,5,10,5,TP,A,11A,685
21.2,12,7,16,9,TP,A,11A,673
0.1,0,0,0,0,TP,DY,11A,663
0,0,0,0,0,TP,DY,11A,640
0,0,0,0,0,TP,DY,11A,677
0,0,0,0,0,TP,D,11A,657
0,0,0,0,0,TP,A,11A,634
10.8,8,4,8,4,BB,A,11A,654
12,8,4,8,4,BB,A,11A,671
18.1,10,5,10,5,BB,A,11A,630
18.6,12,6,16,8,BB,A,11A,662
11.4,8,4,8,4,BB,A,11A,643
15.7,11,6,15,8,BB,A,11A,679
0,0,0,0,0,BB,D,11A,648
0.1,0,0,0,0,BB,D,11A,669
0.2,0,0,0,0,BB,D,11A,636
0,0,0,0,0,BB,A,11A,642
9.5,8,4,8,4,CC,A,11B,587
10.5,6,4,6,4,CC,A,11B,625
11.5,10,5,10,5,CC,A,11B,717
16.9,10,5,10,5,CC,A,11B,565
8.1,8,4,8,4,CC,A,11B,589
15.1,7,5,7,5,CC,A,11B,571
17.7,10,6,10,6,CC,A,11B,612
8,8,4,8,4,CC,A,11B,641
0,0,0,0,0,TP,DY,11B,645
0.1,0,0,0,0,TP,DY,11B,628
0,0,0,0,0,TP,A,11B,635
0,0,0,0,0,TP,A,11B,560
27,10,6,14,8,TP,A,11B,569
13.4,10,5,10,5,TP,A,11B,573
14.5,10,5,10,5,TP,A,11B,631
18.6,11,6,13,7,TP,A,11B,563
17.2,14,7,24,12,TP,A,11B,553
0,0,0,0,0,BB,D,11B,637
1,1,1,1,1,BB,A,11B,616
6.5,4,2,6,3,BB,A,11B,639
6.7,6,4,6,4,BB,A,11B,556
17.2,10,5,10,5,BB,A,11B,574
