Propagule ID,Collection Date,Mass (g),Total length (cm),Diameter (mm),Epicotyl length (cm),Hypocotyl color,Tag #,Treatment,Notes,Processed by,Date Entered,Entered by
RM_CP_061821_552,6/18/2021,24.85,32.5,12.22,5,G,552,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_553,6/18/2021,24.5,37,11.39,6,YG,553,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_554,6/18/2021,32.25,38.75,12.02,9,G,554,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_555,6/18/2021,18.07,28.5,11.97,4.25,YG,555,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_556,6/18/2021,18.56,32.5,10.38,4.5,YG,556,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_557,6/18/2021,14.37,26,10.96,2.5,G,557,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_558,6/18/2021,20,31.5,10.96,3.25,YG,558,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_559,6/18/2021,24.85,37.25,12.78,7.25,G,559,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_560,6/18/2021,23.42,34,11.46,2.75,G,560,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_561,6/18/2021,21.7,37.75,12,10.5,G,561,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_562,6/18/2021,14.85,28,10.74,4,G,562,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_563,6/18/2021,26.38,40.25,11.59,7.5,G,563,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_564,6/18/2021,18.34,34.75,11.23,7,G,564,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_565,6/18/2021,20.24,29.5,12.54,5.5,G,565,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_566,6/18/2021,15.33,34,9.64,7.25,G,566,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_567,6/18/2021,24.85,36.5,13.45,8.25,G,567,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_568,6/18/2021,26.04,40,11.35,9,YG,568,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_569,6/18/2021,22.94,34.25,12.31,5.25,G,569,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_570,6/18/2021,28.24,30.5,13.07,3.5,G,570,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_571,6/18/2021,24.95,34.5,12.94,5,G,571,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_572,6/18/2021,22.46,29,12.6,2.5,G,572,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_573,6/18/2021,13.72,28.5,9.57,4,G,573,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_574,6/18/2021,28.48,35.5,12.85,3.5,G,574,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_575,6/18/2021,23.29,34.5,12.19,5.25,G,575,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_576,6/18/2021,19.72,31,11.66,6.5,G,576,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_577,6/18/2021,26.82,30,11.7,5,G,577,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_578,6/18/2021,19.77,27.5,12.18,3,G,578,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_579,6/18/2021,19.49,32,10.46,3.2,YG,579,BB,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_580,6/18/2021,22.75,37,11.78,7.75,G,580,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_581,6/18/2021,18.92,36.5,9.59,7.9,G,581,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_582,6/18/2021,19.72,37.5,10.66,7.5,G,582,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_583,6/18/2021,28.45,36.5,12.23,7,G,583,BB,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_584,6/18/2021,18.21,30.5,11.38,4.5,G,584,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_585,6/18/2021,14.82,27.7,10.57,4.5,G,585,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_586,6/18/2021,17.26,32.5,11.11,6.5,G,586,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_587,6/18/2021,19.17,31.7,11.06,4.9,G,587,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_588,6/18/2021,25.86,36,11.79,6.25,G,588,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_589,6/18/2021,18.2,28.1,11.04,4,YG,589,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_590,6/18/2021,15.75,28.25,10.73,3.75,G,590,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_591,6/18/2021,18.19,32.8,11.21,5.4,G,591,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_592,6/18/2021,26.29,34.5,13.02,5.5,B,592,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_593,6/18/2021,15.79,29.3,10.78,4.7,G,593,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_594,6/18/2021,14.33,29,10.32,2.75,G,594,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_595,6/18/2021,17.93,33.2,8.97,6.4,G,595,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_596,6/18/2021,18.67,31.5,10.27,5.75,G,596,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_597,6/18/2021,20.5,30.4,11.59,5,G,597,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_598,6/18/2021,14.76,29.25,10.58,6.25,G,598,TP,Twisted,"LU, HAS",02/21/2022,HAS
RM_CP_061821_599,6/18/2021,22.39,31.3,11.48,5,YG,599,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_600,6/18/2021,23.23,31,11.96,5.75,G,600,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_601,6/18/2021,18.17,29.8,11.54,3,G,601,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_602,6/18/2021,24.55,33,11.08,5.25,G,602,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_603,6/18/2021,14.04,28,10.19,4.2,YG,603,BB,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_604,6/18/2021,15.45,31.75,10.31,6.5,G,604,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_605,6/18/2021,15.85,30.9,9.8,3.8,G,605,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_606,6/18/2021,21,36,10.69,7.75,G,606,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_607,6/18/2021,13.17,27,9.69,4,G,607,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_608,6/18/2021,17.03,35.75,10.94,13,G,608,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_609,6/18/2021,18.61,32,11.19,5.2,G,609,BB,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_610,6/18/2021,22.62,34.5,12.67,6.5,G,610,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_611,6/18/2021,16.6,25.2,10.88,4.2,G,611,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_612,6/18/2021,21.57,28.5,12.66,5.5,G,612,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_613,6/18/2021,12.25,24.3,9.34,3.4,G,613,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_614,6/18/2021,17.04,28.5,11.58,3.5,G,614,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_615,6/18/2021,16.54,27.4,10.92,4.8,G,615,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_616,6/18/2021,19.13,30,11.09,5.5,G,616,BB,Had worms on it but were manually removed with freshwater,"LU, HAS",02/21/2022,HAS
RM_CP_061821_617,6/18/2021,10.42,25.1,8.33,3.5,G,617,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_618,6/18/2021,21,29.5,12.57,7,G,618,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_619,6/18/2021,16.96,29.5,10.69,7.6,G,619,BB,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_620,6/18/2021,20.22,33,11.66,6.5,G,620,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_621,6/18/2021,23.13,34.1,11.82,7.4,G,621,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_622,6/18/2021,16.71,28.5,10.98,5,G,622,TP,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_623,6/18/2021,25.77,37,11.66,5.2,G,623,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_624,6/18/2021,14.09,30.75,9.56,4,YG,624,CC,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_625,6/18/2021,25.39,38.3,11.72,8.2,YG,625,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_626,6/18/2021,19.7,36.5,11.27,10.25,G,626,BB,,"LU, HAS",02/21/2022,HAS
RM_CP_061821_627,6/18/2021,27.67,34.5,12.69,8.5,G,627,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_061821_628,6/18/2021,19.41,32.75,11.69,6.75,G,628,TP,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_629,6/18/2021,25.27,34.2,11.41,6.8,G,629,CC,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_630,7/6/2021,24.52,37,11.81,7.75,G,630,BB,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_631,6/18/2021,18.06,29.8,11.4,5.2,G,631,TP,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_632,7/6/2021,20.25,31.5,11.15,5.25,YG,632,CC,,"LU, HAS, KWG",02/21/2022,HAS
RM_CP_061821_633,6/18/2021,10.49,20.7,9.36,3.1,G,633,BB,,"KH, AJH",02/21/2022,HAS
RM_CP_070621_634,7/6/2021,17.4,27.25,11.74,4.5,G,634,TP,,"LU, HAS, KWG",02/21/2022,HAS
