QA/QC ?,Monitoring Session ,Date Processed,Processed by,Location,Propagule ID,Dead/Alive/Dying,Plumule color,Hypocotyl color,Epicotyl length (cm),Treatment,Mainstem leaf count,Total leaf count,Mainstem leaf node count,Total leaf node count,Condition,Notes,Date entered,Data entered by
Y,1,9/24/2021,"LU, HAS",10A,685,A,G,LB,4.8,TP,2,2,1,1,H,"ROW 1, FRONT",2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,654,A,G,LB,4.6,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,648,A,G,LB,4.2,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,646,A,G,G,5.5,TP,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,644,A,G,G,5.4,CC,2,2,1,1,W,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,664,A,G,G,4,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,660,A,G,G,4.6,CC,2,2,1,1,W,hypo wrinkly ,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,630,A,G,G,7.7,BB,2,2,1,1,H,second from front,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,634,A,G,G,4,TP,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,677,A,G,YG,3.1,TP,2,2,1,1,W,hypo wrinkly,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,679,A,G,G,1.9,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,643,A,G,LB,4.8,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,640,A,G,LB,3.2,TP,2,2,1,1,H,middle,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,632,A,G,LB,5,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,663,A,G,G,6.6,TP,2,2,1,1,W,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,638,A,G,G,6,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,671,A,G,LB,7.1,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,650,A,G,G,3.7,CC,2,2,1,1,H,deformed leaves ,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,661,A,G,YG,4.1,CC,2,2,1,1,H,nicks on leaves,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,667,A,G,G,5.9,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,636,A,G,YG,3.4,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,658,A,G,YG,3.8,TP,2,2,1,1,P,"curled leaves, bite out of one; row behind air stone ",2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,662,A,G,G,5.7,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,652,A,G,G,4.3,TP,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,659,A,G,G,6.5,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,669,A,G,LB,3.6,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,673,A,G,G,2.8,TP,2,2,1,1,H,small spot on leaf ; back row,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,643,A,G,G,3.7,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,657,A,G,YG,8.5,TP,2,2,1,1,W,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10A,656,A,G,G,3.8,CC,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,674,A,G,G,7.4,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,665,A,G,G,7,TP,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,684,A,G,G,4.4,BB,2,2,1,1,H,HYPO WRINKLED,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,695,A,G,G,6.4,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,690,A,G,G,5.6,CC,2,2,1,1,H,epi yellwoing,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,694,A,G,G,3.7,BB,2,2,1,1,H,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,698,A,G,G,5.6,TP,2,2,1,1,W,,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,699,A,G,G,8.8,TP,2,2,1,1,W,hypo wrinkled ,2/11/2022,KH
Y,1,9/24/2021,"LU, HAS",10B,688,A,G,G,3.7,CC,2,2,1,1,H,,2/11/2022,KH
